"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 02:54:31 GMT 2023","Wed May 03 02:55:06 GMT 2023","35733","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 02:53:31 GMT 2023","Wed May 03 02:54:01 GMT 2023","30197","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
"passed","Wed May 03 02:53:31 GMT 2023","Wed May 03 02:54:18 GMT 2023","47624","firefox","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"broken","Wed May 03 02:55:46 GMT 2023","Wed May 03 02:56:51 GMT 2023","64977","webkit","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 02:53:31 GMT 2023","Wed May 03 02:54:06 GMT 2023","35119","chromium","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 02:54:23 GMT 2023","Wed May 03 02:54:58 GMT 2023","35504","webkit","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 02:53:31 GMT 2023","Wed May 03 02:54:01 GMT 2023","30530","chromium","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"passed","Wed May 03 02:53:31 GMT 2023","Wed May 03 02:54:15 GMT 2023","44746","chromium","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 02:54:23 GMT 2023","Wed May 03 02:55:08 GMT 2023","44467","webkit","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"passed","Wed May 03 02:53:31 GMT 2023","Wed May 03 02:54:25 GMT 2023","54752","firefox","","@smoke @authentication Authentication Tests","","","@logout should be possible to logout",""
"broken","Wed May 03 02:55:25 GMT 2023","Wed May 03 02:56:40 GMT 2023","75399","firefox","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 02:53:31 GMT 2023","Wed May 03 02:54:10 GMT 2023","39241","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_email should not be able to login with invalid email",""
"broken","Wed May 03 02:54:43 GMT 2023","Wed May 03 02:56:02 GMT 2023","78743","chromium","","@smoke Purchase Tests","","","@purchase should be possible to create a purchase request",""
"passed","Wed May 03 02:54:14 GMT 2023","Wed May 03 02:55:02 GMT 2023","47241","webkit","","@smoke @authentication Authentication Tests","","","@login should be possible to login",""
"passed","Wed May 03 02:54:09 GMT 2023","Wed May 03 02:54:54 GMT 2023","44648","firefox","","@smoke @authentication Authentication Tests","","","@exception_login @login_incorrect_password should not be able to login with invalid password",""
